,gene,gi,operon_id,organism_id
573,ybbS,260853722,624080,514
574,allA,260853723,624081,514
575,allR,260853724,624081,514
576,gcl,260853725,624082,514
577,hyi,260853726,624082,514
579,ybbW,260853728,624083,514
580,allB,260853729,624083,514
582,ylbA,260853731,624084,514
583,allC,260853732,624084,514
584,allD,260853733,624084,514
585,fdrA,260853734,624085,514
586,ylbE,260853735,624085,514
587,ylbF,260853736,624085,514
588,ybcF,260853737,624085,514
589,purK,260853738,624086,514
590,purE,260853739,624086,514
591,lpxH,260853740,624086,514
592,ppiB,260853741,624086,514
595,ybcJ,260853744,624087,514
596,folD,260853745,624087,514
598,sfmC,260853747,624088,514
599,sfmD,260853748,624088,514
600,sfmH,260853749,624088,514
601,sfmF,260853750,624088,514
664,ybcH,260853813,624101,514
665,nfrA,260853814,624101,514
666,nfrB,260853815,624101,514
671,cusS,260853820,624103,514
672,cusR,260853821,624103,514
674,cusF,260853823,624104,514
675,cusB,260853824,624104,514
676,cusA,260853825,624104,514
677,pheP,260853826,624104,514
680,ybdF,260853829,624105,514
681,ybdJ,260853830,624105,514
682,ybdK,260853831,624105,514
684,mokC,260853833,624106,514
685,hokC2,260853834,624106,514
688,fes,260853837,624107,514
689,ybdZ,260853838,624107,514
690,entF,260853839,624107,514
692,fepC,260853841,624108,514
693,fepG,260853842,624108,514
694,fepD,260853843,624108,514
697,entC,260853846,624109,514
698,entE,260853847,624109,514
699,entB,260853848,624109,514
700,entA,260853849,624109,514
701,entH,260853850,624109,514
706,ybdM,260853855,624110,514
707,ybdN,260853856,624110,514
716,citT,260853865,624111,514
717,citG,260853866,624111,514
718,citX,260853867,624111,514
719,citF,260853868,624111,514
720,citE,260853869,624111,514
721,citD,260853870,624111,514
722,citC,260853871,624111,514
723,citA,260853872,624112,514
724,dpiA,260853873,624112,514
733,lipB,260853882,624113,514
734,ybeD,260853883,624113,514
736,rlpA,260853885,624114,514
737,mrdB,260853886,624114,514
738,mrdA,260853887,624114,514
739,ybeA,260853888,624114,514
740,ybeB,260853889,624114,514
741,cobC,260853890,624115,514
742,nadD,260853891,624115,514
743,holA,260853892,624115,514
744,rlpB,260853893,624115,514
745,leuS,260853894,624115,514
750,ybeU,260853899,624116,514
751,ybeV,260853900,624116,514
753,rihA,260853902,624117,514
754,gltL,260853903,624117,514
755,gltK,260853904,624117,514
756,gltJ,260853905,624117,514
759,lnt,260853908,624118,514
760,ybeX,260853909,624118,514
761,ybeY,260853910,624118,514
762,ybeZ,260853911,624118,514
766,nagD,260853915,624119,514
767,nagC,260853916,624119,514
768,nagA,260853917,624119,514
769,nagB,260853918,624119,514
772,ybfM,260853921,624120,514
773,ybfN,260853922,624120,514
774,fur,260853923,624121,514
775,uof,260853924,624121,514
779,seqA,260853928,624122,514
780,pgm,260853929,624122,514
781,potE,260853930,624123,514
782,speF,260853931,624123,514
783,kdpE,260853932,624124,514
784,kdpD,260853933,624124,514
785,kdpC,260853934,624124,514
786,kdpB,260853935,624124,514
787,kdpA,260853936,624124,514
788,kdpF,260853937,624124,514
793,ybgA,260853942,624126,514
794,phr,260853943,624126,514
796,ybgI,260853945,624127,514
797,ybgJ,260853946,624127,514
798,ybgK,260853947,624127,514
799,ybgL,260853948,624127,514
800,nei,260853949,624127,514
802,ybgO,260853951,624128,514
803,ybgP,260853952,624128,514
804,ybgQ,260853953,624128,514
805,ybgD,260853954,624128,514
807,sdhC,260853956,624129,514
808,sdhD,260853957,624129,514
809,sdhA,260853958,624129,514
810,sdhB,260853959,624129,514
811,sucA,260853960,624130,514
812,sucB,260853961,624130,514
813,sucC,260853962,624130,514
814,sucD,260853963,624130,514
816,mngA,260853965,624131,514
817,mngB,260853966,624131,514
818,cydA,260853967,624132,514
819,cydB,260853968,624132,514
820,ybgT,260853969,624132,514
821,ybgE,260853970,624132,514
822,ybgC,260853971,624133,514
823,tolQ,260853972,624133,514
824,tolR,260853973,624133,514
825,tolA,260853974,624133,514
826,tolB,260853975,624134,514
827,pal,260853976,624134,514
828,ybgF,260853977,624134,514
829,nadA,260853978,624135,514
830,pnuC,260853979,624135,514
835,galM,260853984,624136,514
836,galK,260853985,624136,514
837,galT,260853986,624136,514
838,galE,260853987,624136,514
839,modF,260853988,624137,514
840,modE,260853989,624137,514
842,modA,260853991,624138,514
843,modB,260853992,624138,514
844,modC,260853993,624138,514
915,ybhB,260854064,624151,514
916,bioA,260854065,624151,514
917,bioB,260854066,624152,514
918,bioF,260854067,624152,514
919,bioC,260854068,624152,514
920,bioD,260854069,624152,514
923,moaA,260854072,624153,514
924,moaB,260854073,624153,514
925,moaC,260854074,624153,514
926,moaD,260854075,624153,514
927,moaE,260854076,624153,514
930,ybhN,260854079,624154,514
931,ybhO,260854080,624154,514
932,ybhP,260854081,624154,514
934,ybhR,260854083,624155,514
935,ybhS,260854084,624155,514
936,ybhF,260854085,624155,514
937,ybhG,260854086,624155,514
938,ybiH,260854087,624155,514
941,ybiB,260854090,624156,514
942,dinG,260854091,624156,514
946,ybiI,260854095,624157,514
947,ybiX,260854096,624157,514
948,fiu,260854097,624157,514
952,glnQ,260854101,624158,514
953,glnP,260854102,624158,514
954,glnH,260854103,624158,514
959,mntR,260854108,624159,514
960,ybiR,260854109,624159,514
966,ybiW,260854115,624160,514
967,ybiY,260854116,624160,514
969,moeB,260854118,624161,514
970,moeA,260854119,624161,514
971,iaaA,260854120,624162,514
972,gsiA,260854121,624162,514
973,gsiB,260854122,624162,514
974,gsiC,260854123,624162,514
975,gsiD,260854124,624162,514
976,yliE,260854125,624163,514
977,yliF,260854126,624163,514
983,deoR,260854132,624164,514
984,ybjG,260854133,624164,514
987,ybjI,260854136,624165,514
988,ybjJ,260854137,624165,514
993,ybjC,260854142,624166,514
994,nfsA,260854143,624166,514
995,rimK,260854144,624166,514
997,potF,260854146,624167,514
998,potG,260854147,624167,514
999,potH,260854148,624167,514
1000,potI,260854149,624167,514
1001,ybjO,260854150,624167,514
1002,rumB,260854151,624167,514
1004,artM,260854153,624168,514
1005,artQ,260854154,624168,514
1006,artI,260854155,624168,514
1007,artP,260854156,624168,514
1009,ybjQ,260854158,624169,514
1010,amiD,260854159,624169,514
1011,ybjS,260854160,624170,514
1012,ybjT,260854161,624170,514
1013,ltaE,260854162,624170,514
1014,poxB,260854163,624170,514
1015,hcr,260854164,624171,514
1016,hcp,260854165,624171,514
1021,macA,260854170,624172,514
1022,macB,260854171,624172,514
1024,clpS,260854173,624173,514
1025,clpA,260854174,624173,514
1027,aat,260854176,624174,514
1028,cydC,260854177,624174,514
1029,cydD,260854178,624174,514
1033,lolA,260854182,624175,514
1034,ycaJ,260854183,624175,514
1035,serS,260854184,624175,514
1036,dmsA,260854185,624176,514
1037,dmsB,260854186,624176,514
1038,dmsC,260854187,624176,514
1045,pflB,260854194,624177,514
1046,focA,260854195,624177,514
1049,serC,260854198,624178,514
1050,aroA,260854199,624178,514
1052,cmk,260854201,624179,514
1053,rpsA,260854202,624179,514
1055,ycaI,260854204,624180,514
1056,msbA,260854205,624180,514
1057,lpxK,260854206,624180,514
1058,ycaQ,260854207,624180,514
1059,ycaR,260854208,624180,514
1060,kdsB,260854209,624180,514
1063,smtA,260854212,624181,514
1064,mukF,260854213,624181,514
1065,mukE,260854214,624181,514
1066,mukB,260854215,624181,514
1068,ycbK,260854217,624182,514
1069,ycbL,260854218,624182,514
1076,ssuB,260854225,624183,514
1077,ssuC,260854226,624183,514
1078,ssuD,260854227,624183,514
1079,ssuA,260854228,624183,514
1080,ssuE,260854229,624183,514
1082,ycbR,260854231,624184,514
1083,ycbS,260854232,624184,514
1084,ycbT,260854233,624184,514
1085,ycbU,260854234,624184,514
1086,ycbV,260854235,624184,514
1087,ycbF,260854236,624184,514
1091,rlmL,260854240,624185,514
1092,uup,260854241,624185,514
1093,pqiA,260854242,624186,514
1094,pqiB,260854243,624186,514
1095,ymbA,260854244,624186,514
1097,fabA,260854246,624187,514
1098,ycbZ,260854247,624187,514
1103,yccS,260854252,624188,514
1104,yccF,260854253,624188,514
1109,hspQ,260854258,624189,514
1110,yccW,260854259,624189,514
1256,ycdG,260854405,624220,514
1257,ycdH,260854406,624220,514
1258,ycdI,260854407,624220,514
1259,rarA,260854408,624220,514
1260,ycdK,260854409,624220,514
1261,ycdL,260854410,624220,514
1262,ycdM,260854411,624220,514
1347,iucA,260854496,624233,514
1348,iucB,260854497,624233,514
1349,iucC,260854498,624233,514
1350,iucD,260854499,624233,514
1351,iutA,260854500,624233,514
1368,ycdW,260854517,624237,514
1369,ycdX,260854518,624237,514
1370,ycdY,260854519,624237,514
1371,csgG,260854520,624238,514
1372,csgF,260854521,624238,514
1373,csgE,260854522,624238,514
1374,csgD,260854523,624238,514
1376,csgB,260854525,624239,514
1377,csgA,260854526,624239,514
1379,ymdA,260854528,624240,514
1380,ymdB,260854529,624240,514
1381,ymdC,260854530,624240,514
1383,mdoG,260854532,624241,514
1384,mdoH,260854533,624241,514
1390,yceI,260854539,624242,514
1391,yceJ,260854540,624242,514
1398,grxB,260854547,624243,514
1399,mdtH,260854548,624243,514
1400,rimJ,260854549,624244,514
1401,yceH,260854550,624244,514
1402,mviM,260854551,624244,514
1404,flgN,260854553,624245,514
1405,flgM,260854554,624245,514
1407,flgB,260854556,624246,514
1408,flgC,260854557,624246,514
1409,flgD,260854558,624246,514
1410,flgE,260854559,624246,514
1411,flgF,260854560,624246,514
1412,flgG,260854561,624247,514
1413,flgH,260854562,624247,514
1414,flgI,260854563,624247,514
1415,flgJ,260854564,624247,514
1416,flgK,260854565,624247,514
1417,flgL,260854566,624247,514
1422,yceD,260854571,624248,514
1423,rpmF,260854572,624248,514
1424,plsX,260854573,624249,514
1425,fabH,260854574,624249,514
1426,fabD,260854575,624249,514
1427,fabG,260854576,624249,514
1430,pabC,260854579,624250,514
1431,yceG,260854580,624250,514
1432,tmk,260854581,624250,514
1433,holB,260854582,624250,514
1434,ycfH,260854583,624250,514
1437,hinT,260854586,624251,514
1438,ycfL,260854587,624251,514
1439,ycfM,260854588,624251,514
1440,thiK,260854589,624251,514
1441,nagZ,260854590,624251,514
1442,ycfP,260854591,624251,514
1450,lolC,260854599,624252,514
1451,lolD,260854600,624252,514
1452,lolE,260854601,624252,514
1453,ycfX,260854602,624252,514
1454,cobB,260854603,624252,514
1455,ycfZ,260854604,624253,514
1456,yfmA,260854605,624253,514
1457,potD,260854606,624254,514
1458,potC,260854607,624254,514
1528,hyaA,260854677,624267,514
1529,hyaB,260854678,624267,514
1530,hyaC,260854679,624267,514
1531,hyaD,260854680,624267,514
1532,hyaE,260854681,624267,514
1533,hyaF,260854682,624267,514
1536,yccC,260854685,624268,514
1537,etp,260854686,624268,514
1538,yccZ,260854687,624268,514
1539,ymcA,260854688,624268,514
1540,ymcB,260854689,624268,514
1541,ymcC,260854690,624268,514
1542,ymcD,260854691,624268,514
1545,ymcE,260854694,624269,514
1546,gnsA,260854695,624269,514
1547,yccM,260854696,624270,514
1548,torS,260854697,624270,514
1551,torC,260854700,624271,514
1552,torA,260854701,624271,514
1553,torD,260854702,624271,514
1554,cbpM,260854703,624272,514
1555,cbpA,260854704,624272,514
1641,potB,260854790,624289,514
1642,potA,260854791,624289,514
1662,phoQ,260854811,624293,514
1663,phoP,260854812,624293,514
1664,purB,260854813,624294,514
1665,hflD,260854814,624294,514
1666,mnmA,260854815,624294,514
1667,ymfB,260854816,624294,514
1668,ymfC,260854817,624294,514
1675,ymgA,260854824,624295,514
1676,ymgB,260854825,624295,514
1682,ymgD,260854831,624296,514
1683,ymgG,260854832,624296,514
1685,minE,260854834,624297,514
1686,minD,260854835,624297,514
1687,minC,260854836,624297,514
1695,umuD,260854844,624299,514
1696,umuC,260854845,624299,514
1701,dadA,260854850,624300,514
1702,dadX,260854851,624300,514
1710,dhaH,260854859,624301,514
1711,dhaL,260854860,624301,514
1712,dhaK,260854861,624301,514
1720,ipk,260854869,624302,514
1721,lolB,260854870,624302,514
1722,hemA,260854871,624303,514
1723,prfA,260854872,624303,514
1724,prmC,260854873,624303,514
1725,ychQ,260854874,624303,514
1726,ychA,260854875,624303,514
1727,kdsA,260854876,624303,514
1736,narL,260854885,624304,514
1737,narX,260854886,624304,514
1739,narG,260854888,624305,514
1740,narH,260854889,624305,514
1741,narJ,260854890,624305,514
1742,narI,260854891,624305,514
1743,purU,260854892,624306,514
1744,ychJ,260854893,624306,514
1752,oppA,260854901,624307,514
1753,oppB,260854902,624307,514
1754,oppC,260854903,624307,514
1755,oppD,260854904,624307,514
1756,oppF,260854905,624307,514
1757,yciU,260854906,624308,514
1758,cls,260854907,624308,514
1763,yciA,260854912,624309,514
1764,yciB,260854913,624309,514
1765,yciC,260854914,624309,514
1806,yciE,260854955,624317,514
1807,yciF,260854956,624317,514
1809,trpA,260854958,624318,514
1810,trpB,260854959,624318,514
1811,trpC,260854960,624318,514
1812,trpD,260854961,624318,514
1813,trpE,260854962,624318,514
1814,trpL,260854963,624318,514
1815,yciV,260854964,624319,514
1816,yciO,260854965,624319,514
1817,rluB,260854966,624319,514
1818,btuR,260854967,624320,514
1819,yciK,260854968,624320,514
1828,yciS,260854977,624321,514
1829,yciM,260854978,624321,514
1830,pyrF,260854979,624322,514
1831,yciH,260854980,624322,514
1836,rnb,260854985,624323,514
1837,yciW,260854986,624323,514
1848,puuD,260854997,624325,514
1849,puuR,260854998,624325,514
1850,puuC,260854999,624326,514
1851,puuB,260855000,624326,514
1852,puuE,260855001,624326,514
1854,pspA,260855003,624327,514
1855,pspB,260855004,624327,514
1856,pspC,260855005,624327,514
1857,pspD,260855006,624327,514
1858,pspE,260855007,624327,514
1859,ycjN,260855008,624328,514
1860,ycjO,260855009,624328,514
1861,ycjP,260855010,624328,514
1862,ycjQ,260855011,624328,514
1863,ycjR,260855012,624328,514
1864,ycjS,260855013,624328,514
1865,ycjT,260855014,624328,514
1866,ycjU,260855015,624328,514
1867,ycjV,260855016,624328,514
1870,ycjX,260855019,624329,514
1871,ycjF,260855020,624329,514
1885,ogt,260855034,624331,514
1886,abgT,260855035,624331,514
1887,abgB,260855036,624331,514
1888,abgA,260855037,624331,514
1963,ydbH,260855112,624342,514
1964,ynbE,260855113,624342,514
1965,ydbL,260855114,624342,514
1970,paaA,260855119,624343,514
1971,paaB,260855120,624343,514
1972,paaC,260855121,624343,514
1973,paaD,260855122,624343,514
1974,paaE,260855123,624343,514
1975,paaF,260855124,624343,514
1976,paaG,260855125,624343,514
1977,paaH,260855126,624343,514
1978,paaI,260855127,624343,514
1979,paaJ,260855128,624343,514
1980,paaK,260855129,624343,514
1981,paaX,260855130,624344,514
1982,paaY,260855131,624344,514
1985,ynbA,260855134,624345,514
1986,ynbB,260855135,624345,514
1987,ynbC,260855136,624345,514
1988,ynbD,260855137,624345,514
1996,hokB,260855145,624346,514
1997,mokB,260855146,624346,514
2005,tehA,260855154,624347,514
2006,tehB,260855155,624347,514
2014,ydcS,260855163,624348,514
2015,ydcT,260855164,624348,514
2016,ydcU,260855165,624348,514
2017,ydcV,260855166,624348,514
2018,ydcW,260855167,624348,514
2023,ydcZ,260855172,624349,514
2024,yncA,260855173,624349,514
2030,yncG,260855179,624350,514
2031,yncH,260855180,624350,514
2036,yddE,260855185,624352,514
2037,narV,260855186,624352,514
2038,narW,260855187,624352,514
2039,narY,260855188,624352,514
2040,narZ,260855189,624352,514
2041,narU,260855190,624352,514
2045,fdnG,260855194,624354,514
2046,fdnH,260855195,624354,514
2047,fdnI,260855196,624354,514
2054,ddpD,260855203,624355,514
2055,ddpC,260855204,624355,514
2056,ddpB,260855205,624355,514
2057,ddpA,260855206,624355,514
2058,ddpX,260855207,624355,514
2059,dos,260855208,624356,514
2060,yddV,260855209,624356,514
2064,pqqL,260855213,624357,514
2065,yddB,260855214,624357,514
2066,yddA,260855215,624357,514
2067,ydeM,260855216,624358,514
2068,ydeN,260855217,624358,514
2078,hipA,260855227,624360,514
2079,hipB,260855228,624360,514
2082,lsrA,260855231,624361,514
2083,lsrC,260855232,624361,514
2084,lsrD,260855233,624361,514
2085,lsrB,260855234,624361,514
2089,yneG,260855238,624362,514
2090,yneH,260855239,624362,514
2091,yneI,260855240,624362,514
2095,marR,260855244,624363,514
2096,marA,260855245,624363,514
2233,rspB,260855382,624389,514
2234,rspA,260855383,624389,514
2236,ynfB,260855385,624390,514
2237,speG,260855386,624390,514
2240,ynfF,260855389,624391,514
2241,ynfG,260855390,624391,514
2242,ynfH,260855391,624391,514
2243,dmsD,260855392,624391,514
2249,asr,260855398,624392,514
2250,ydgU,260855399,624392,514
2251,ydgD,260855400,624392,514
2252,mdtI,260855401,624393,514
2253,mdtJ,260855402,624393,514
2277,pntB,260855426,624400,514
2278,pntA,260855427,624400,514
2280,ydgI,260855429,624401,514
2281,folM,260855430,624401,514
2283,rstA,260855432,624402,514
2284,rstB,260855433,624402,514
2290,uidC,260855439,624403,514
2291,uidB,260855440,624403,514
2292,gusA,260855441,624403,514
2296,malX,260855445,624404,514
2297,malY,260855446,624404,514
2303,rsxA,260855452,624405,514
2304,rsxB,260855453,624405,514
2305,rsxC,260855454,624405,514
2306,rnfD,260855455,624405,514
2307,rsxG,260855456,624405,514
2308,rsxE,260855457,624405,514
2309,nth,260855458,624405,514
2319,ydhI,260855468,624406,514
2320,ydhJ,260855469,624406,514
2321,ydhK,260855470,624406,514
2322,sodC,260855471,624407,514
2323,ydhF,260855472,624407,514
2324,ydhL,260855473,624407,514
2325,ydhM,260855474,624408,514
2326,nemA,260855475,624408,514
2327,gloA,260855476,624408,514
2344,ydhT,260855493,624409,514
2345,ydhU,260855494,624409,514
2346,ydhX,260855495,624409,514
2347,ydhW,260855496,624409,514
2348,ydhV,260855497,624409,514
2349,ydhY,260855498,624409,514
2354,sufE,260855503,624410,514
2355,sufS,260855504,624410,514
2356,sufD,260855505,624410,514
2357,sufC,260855506,624410,514
2358,sufB,260855507,624410,514
2359,sufA,260855508,624410,514
2361,ydiI,260855510,624411,514
2362,ydiJ,260855511,624411,514
2366,ydiN,260855515,624412,514
2367,ydiB,260855516,624412,514
2368,aroD,260855517,624412,514
2371,ydiQ,260855520,624413,514
2372,ydiR,260855521,624413,514
2373,ydiS,260855522,624413,514
2374,ydiT,260855523,624413,514
2375,ydiD,260855524,624413,514
2380,ydiU,260855529,624414,514
2381,ydiV,260855530,624414,514
2382,nlpC,260855531,624415,514
2383,btuD,260855532,624415,514
2384,btuE,260855533,624415,514
2385,btuC,260855534,624415,514
2429,ihfA,260855578,624426,514
2430,pheT,260855579,624426,514
2431,pheS,260855580,624426,514
2432,pheM,260855581,624427,514
2433,rplT,260855582,624427,514
2435,infC,260855584,624428,514
2436,thrS,260855585,624428,514
